Date,MLP_PRED
1/3/2001,1990033.033
1/4/2001,1986504.598
1/5/2001,1892309.902
1/6/2001,1916066.09
1/7/2001,1843111.432
1/8/2001,1865889.445
1/9/2001,1931330.162
1/10/2001,1921660.862
1/11/2001,1989737.313
1/12/2001,2024080.246
1/1/2002,2001916.338
1/2/2002,2124242.617
1/3/2002,2181385.441
1/4/2002,2041636.728
1/5/2002,2047590.254
1/6/2002,1978950.935
1/7/2002,1954941.483
1/8/2002,1976701.876
1/9/2002,2009145.819
1/10/2002,2028972.327
1/11/2002,2098582.835
1/12/2002,2140456.759
1/1/2003,2123880.134
1/2/2003,2201636.686
1/3/2003,2160557.688
1/4/2003,2139427.503
1/5/2003,2064396.31
1/6/2003,1999945.312
1/7/2003,2018314.565
1/8/2003,1992158.602
1/9/2003,2036177.997
1/10/2003,2057052.29
1/11/2003,2125493.543
1/12/2003,2159142.165
1/1/2004,2186560.121
1/2/2004,2238045.465
1/3/2004,2189002.766
1/4/2004,2142511.383
1/5/2004,2137079.787
1/6/2004,2045248.691
1/7/2004,2034591.554
1/8/2004,1998659.939
1/9/2004,2072868.513
1/10/2004,2053420.659
1/11/2004,2089257.329
1/12/2004,2139520.355
1/1/2005,2101023.474
1/2/2005,2197703.369
1/3/2005,2144301.572
1/4/2005,2121260.853
1/5/2005,2063051.637
1/6/2005,1964403.571
1/7/2005,1969421.403
1/8/2005,2009351.215
1/9/2005,2043503.12
1/10/2005,2017780.142
1/11/2005,2078042.371
1/12/2005,2116285.962
1/1/2006,2101886.674
1/2/2006,2196096.503
1/3/2006,2152821.6
1/4/2006,2124315.112
1/5/2006,2031771.081
1/6/2006,1972134.588
1/7/2006,1949392.934
1/8/2006,1968710.157
1/9/2006,2012721.96
1/10/2006,1970792.561
1/11/2006,2019344.988
1/12/2006,2047329.172
1/1/2007,2029184.396
1/2/2007,2115033.148
1/3/2007,2069784.761
1/4/2007,2051277.822
1/5/2007,2008335.291
1/6/2007,1957886.233
1/7/2007,1976471.534
1/8/2007,1987195.309
1/9/2007,2067852.469
1/10/2007,2018268.431
1/11/2007,2069504.469
1/12/2007,2117199.51
1/1/2008,2140764.774
1/2/2008,2323864.251
1/3/2008,2348022.27
1/4/2008,2289676.357
1/5/2008,2369243.963
1/6/2008,2375928.619
1/7/2008,2437043.211
1/8/2008,2484783.746
1/9/2008,2659033.708
1/10/2008,2779843.828
1/11/2008,2997285.657
1/12/2008,3124969.392
1/1/2009,3223517.549
1/2/2009,3452964.165
1/3/2009,3579096.997
1/4/2009,3683321.135
1/5/2009,3674270.11
1/6/2009,3613312.928
1/7/2009,3541535.757
1/8/2009,3540704.449
1/9/2009,3684653.506
1/10/2009,3761135.128
1/11/2009,3869065.11
1/12/2009,3906876.432
1/1/2010,3957297.798
1/2/2010,4120269.875
1/3/2010,4176750.843
1/4/2010,4185877.552
1/5/2010,4127769.08
1/6/2010,4023077.105
1/7/2010,3936212.557
1/8/2010,3869297.95
1/9/2010,4006300.063
1/10/2010,4046253.313
1/11/2010,4124864.922
1/12/2010,4123785.457
1/1/2011,4094038.136
1/2/2011,4303376.173
1/3/2011,4334852.506
1/4/2011,4349426.649
1/5/2011,4229857.32
1/6/2011,4142626.489
1/7/2011,4082576.724
1/8/2011,4055877.932
1/9/2011,4159409.699
1/10/2011,4279170.72
1/11/2011,4433126.525
1/12/2011,4449189.113
1/1/2012,4418204.825
1/2/2012,4692976.104
1/3/2012,4766332.559
1/4/2012,4762605.177
1/5/2012,4730200.022
1/6/2012,4687173.492
1/7/2012,4550683.313
1/8/2012,4563792.19
1/9/2012,4638988.908
1/10/2012,4741025.65
1/11/2012,4894965.881
1/12/2012,4937356.381
1/1/2013,4803157.494
1/2/2013,5042099.656
1/3/2013,5059231.539
1/4/2013,5017611.899
1/5/2013,4948871.377
1/6/2013,4822378.554
1/7/2013,4680595.942
1/8/2013,4652296.533
1/9/2013,4689219.126
1/10/2013,4728984.919
1/11/2013,4849682.948
1/12/2013,4796233.757
1/1/2014,4630441.762
1/2/2014,4867545.54
1/3/2014,4800055.755
1/4/2014,4775333.116
1/5/2014,4611393.478
1/6/2014,4501022.75
1/7/2014,4374114.715
1/8/2014,4397655.527
1/9/2014,4427207.285
1/10/2014,4453259.742
1/11/2014,4565054.114
1/12/2014,4497109.344
1/1/2015,4405372.226
1/2/2015,4563289.342
1/3/2015,4497801.217
1/4/2015,4411922.977
1/5/2015,4261393.02
1/6/2015,4145782.611
1/7/2015,4065788.917
1/8/2015,4004712.904
1/9/2015,4080602.618
1/10/2015,4108795.159
1/11/2015,4221892.608
1/12/2015,4132891.712
1/1/2016,4061603.184
1/2/2016,4182383.556
1/3/2016,4153223.054
1/4/2016,4061462.789
1/5/2016,3964700.315
1/6/2016,3826185.348
1/7/2016,3701164.597
1/8/2016,3641482.617
1/9/2016,3711792.152
1/10/2016,3739005.824
1/11/2016,3795466.884
1/12/2016,3808610.279
1/1/2017,3659457.28
1/2/2017,3797955.465
1/3/2017,3750780.435
1/4/2017,3680634.148
1/5/2017,3507361.278
1/6/2017,3407100.329
1/7/2017,3318062.854
1/8/2017,3332307.126
1/9/2017,3419753.899
1/10/2017,3436609.327
1/11/2017,3509087.596
1/12/2017,3487965.897
1/1/2018,3388237.65
1/2/2018,3522375.821
1/3/2018,3476281.435
1/4/2018,3405722.393
1/5/2018,3298170.899
1/6/2018,3217417.312
1/7/2018,3125301.533
1/8/2018,3134392.434
1/9/2018,3222989.647
1/10/2018,3227947.616
1/11/2018,3297425.471
1/12/2018,3264823.37
1/1/2019,3187265.763
1/2/2019,3345821.652
1/3/2019,3303347.579
1/4/2019,3248698.803
1/5/2019,3125800.206
1/6/2019,3047278.537
1/7/2019,3003910.139
1/8/2019,3036586.534
1/9/2019,3116863.902
1/10/2019,3103712.731
1/11/2019,3247660.745
1/12/2019,3223737.94
1/1/2020,3158291.333
1/2/2020,3318277.839
1/3/2020,3254707.09
1/4/2020,3728985.162
1/5/2020,3996422.154
1/6/2020,3876490.718
1/7/2020,3869283.395
1/8/2020,3726714.828
1/9/2020,3824213.699
